Player,Hero,Time,Rating,% of Kills,Kills per 10,Deaths per 10,Kills/Deaths per 10,Kills - Deaths per 10,Ults per 10,Kills per Ult,Fights Fought,% Get First Kills,% Get First Death,% HS Kills,% Ult Kills,TT Charge First Ultimate (s/ult),TT Charge Ult (s/ult),Ult Hold Time (s/ult),Kills per 10,Kill Impact per 10,Impact / Kill per 10,Death per 10,Death Impact per 10,Impact / Death per 10,I/K - I/D,FUU Win - Fwin,% Ult outside of fight,PTK,PTD,F3K,F3D,timeSec
JJoNak vs San Francisco Shock,Zenyatta,0:49:21,1504,17.90%,6.89,3.44,2,3.44,4.05,0,62,6.45%,3.23%,0.00%,0.00%,98.7,89.35,41.55,6.89,1.24,0.18,3.44,0.16,0.047,0.133,13.91,5.26%,17.89%,14.17%,22.73%,13.64%,2961
Aimgod vs Shanghai Dragons,Zenyatta,0:35:52,1492,17.30%,7.25,2.23,3.25,5.02,4.18,0,47,4.26%,0.00%,0.00%,0.00%,110.43,99.93,34.27,7.25,0.28,0.038,2.23,0.49,0.221,-0.183,5.53,21.43%,17.33%,12.70%,22.86%,11.43%,2152
uNKOE vs Philadelphia Fusion,Zenyatta,0:39:40,1448,14.40%,4.79,3.03,1.58,1.76,4.54,0,51,7.84%,5.88%,0.00%,0.00%,97.22,79.06,39,4.79,0.36,0.075,3.03,1.66,0.548,-0.473,33.14,14.29%,14.39%,10.81%,21.88%,12.50%,2380
JJoNak vs Shanghai Dragons,Zenyatta,0:40:02,1444,15.00%,6.24,2.25,2.78,4,4.5,0,51,3.92%,7.84%,0.00%,0.00%,113.14,94.22,39.28,6.24,3.1,0.496,2.25,2.1,0.933,-0.437,5.35,14.29%,14.97%,13.85%,35.48%,12.90%,2402
JJoNak vs Florida Mayhem,Zenyatta,0:55:07,1410,14.10%,5.44,3.08,1.76,2.36,4.17,0,71,8.45%,5.63%,0.00%,0.00%,95.82,84.83,47.83,5.44,3.88,0.713,3.08,1.48,0.478,0.235,3.29,4.76%,14.08%,15.04%,27.66%,14.89%,3307
Sleepy vs Houston Outlaws,Zenyatta,0:44:57,1410,17.50%,6.9,3.11,2.21,3.78,3.34,0,63,19.05%,1.59%,0.00%,0.00%,110.75,99.93,70.33,6.9,4.75,0.689,3.11,-0.9,-0.289,0.978,11.75,18.18%,17.51%,18.18%,27.78%,22.22%,2697
Zuppeh vs Shanghai Dragons,Zenyatta,1:02:18,1406,14.60%,4.49,2.57,1.75,1.93,3.85,0,77,10.39%,1.30%,0.00%,0.00%,104.83,92.42,44.33,4.49,1.76,0.392,2.57,1.17,0.456,-0.064,-9.09,13.04%,14.58%,9.94%,20.34%,6.78%,3738
Bdosin vs Florida Mayhem,Zenyatta,0:47:43,1380,18.60%,6.71,3.14,2.13,3.56,3.98,0,59,6.78%,8.47%,0.00%,0.00%,108.25,97.74,44.32,6.71,1.16,0.173,3.14,1.71,0.545,-0.372,20.21,11.76%,18.60%,18.07%,33.33%,20.51%,2863
HagoPeunvs Houston Outlaws,Zenyatta,0:28:59,1377,13.20%,3.45,4.83,0.71,-1.38,6.21,0,34,2.94%,14.71%,0.00%,0.00%,76.33,59.11,26.56,3.45,-0.42,-0.121,4.83,1.14,0.236,-0.357,-2.35,17.65%,13.16%,12.96%,23.08%,19.23%,1739
 Shazvs Shanghai Dragons,Zenyatta,0:38:17,1347,13.80%,5.49,2.35,2.33,3.13,4.18,0,51,13.73%,3.92%,0.00%,0.00%,92.43,85.75,44.31,5.49,0.82,0.149,2.35,1.58,0.673,-0.524,-1.78,6.25%,13.82%,15.79%,20.59%,11.76%,2297
JJoNak vs Dallas Fuel,Zenyatta,1:00:39,1331,12.90%,4.45,3.3,1.35,1.15,3.63,0,74,4.05%,2.70%,0.00%,0.00%,85.09,80.05,68.18,4.45,0.37,0.082,3.3,-0.54,-0.162,0.244,15.18,5.00%,12.92%,15.50%,15.91%,4.55%,3639
